period,ts_code,method,obs,r2,abs_MKT,abs_SMB,abs_HML,abs_UMD,coef_l1
2017-2019,000061.SZ,rolling,610,0.004949272965173113,0.06645903160304555,0.020647720281246396,0.03864151845581857,0.18515930896613908,0.31090757930624957
2017-2019,000062.SZ,static,673,0.004679634692347667,0.005925806739109932,0.05752740799530753,0.052768536302606805,0.2874973737922241,0.4037191248292484
2017-2019,000062.SZ,rolling,673,0.0026719529372506434,0.047553989957034665,0.06450862935160091,0.052635249336747125,0.06021047388055546,0.22490834252593817
2017-2019,000063.SZ,static,634,0.03632001596604961,0.27010854008615187,0.5719200536315545,0.5900268340111736,0.04296026411281456,1.4750156918416946
2017-2019,000063.SZ,rolling,634,0.007486425261046481,0.05885096394219713,0.26089892602636233,0.14528149428529974,0.16727508534753568,0.6323064696013949
2017-2019,000065.SZ,static,673,0.026822342991001058,0.06013836391528812,0.23146854587533228,0.24312419095503832,0.17927491755962163,0.7140060183052804
2017-2019,000065.SZ,rolling,673,0.0036820560420293136,0.02043723900651835,0.005827876103902148,0.01663211597233379,0.2113822766314413,0.2542795077141956
2017-2019,000066.SZ,static,660,0.034230458368611494,0.12997306055420554,0.1351804488515796,0.4681285754467685,0.3717346305232003,1.105016715375754
2017-2019,000066.SZ,rolling,660,0.014070124047314114,0.08059094628596547,0.04106135795298739,0.2661178072822372,0.3628870654017461,0.7506571769229362
2017-2019,000068.SZ,static,685,0.010394914032641811,0.12431045604868468,0.3570001539209326,0.5089630541237476,0.22829920672101944,1.2185728708143844
2017-2019,000068.SZ,rolling,685,0.002962470912038162,0.11094696568266524,0.06298694275932899,0.08333123117290031,0.04195128241386222,0.29921642202875676
2017-2019,000069.SZ,static,685,0.05827763340257264,0.0928112602364547,0.5198866670936293,0.5416446535839485,0.11552225582232542,1.269864836736358
2017-2019,000069.SZ,rolling,685,0.005457065726174326,0.02681255748711439,0.13538587843378305,0.0046937810258043736,0.14202705109985705,0.3089192680465589
2017-2019,000070.SZ,static,685,0.013903318187747371,0.18678648089826216,0.1693950872853609,0.11669280042014096,0.2882712775749794,0.7611456461787434
2017-2019,000070.SZ,rolling,685,0.0047182087110315685,0.07332223134352545,0.15414147448279727,0.02194540223087127,0.07720535459571329,0.3266144626529073
2017-2019,000078.SZ,static,685,0.005673063162485059,0.0563300415816864,0.12058694157945919,0.11642623974044965,0.1906352766067001,0.48397849950829536
2017-2019,000078.SZ,rolling,685,0.008691324357750552,0.11276728231478977,0.020429506766492272,0.1527293282975562,0.022928236859241724,0.30885435423807994
2017-2019,000088.SZ,static,685,0.04531684654040169,0.15442703820645365,0.20248637655913612,0.30853995753670643,0.07077632373723607,0.7362296960395323
2017-2019,000088.SZ,rolling,685,0.0017004933177168224,0.040206659630567444,0.06800769148982863,0.11744571827114039,0.0712030162964771,0.29686308568801356
2017-2019,000089.SZ,static,685,0.056079687715113735,0.03710992877104663,0.29413253994135524,0.6739790625217619,0.0657246320594102,1.070946163293574
2017-2019,000089.SZ,rolling,685,0.002332043167774245,0.006139692381892412,0.08446209306835988,0.10983982505981622,0.1058922125862326,0.3063338230963011
2017-2019,000090.SZ,static,680,0.029907695267758383,0.005850060552108377,0.24658681273942204,0.27613418720905325,0.018435458678253684,0.5470065191788374
2017-2019,000090.SZ,rolling,680,0.0037700119993606673,0.023127793366905333,0.09485920642483213,0.011682160253122995,0.020813533128622393,0.15048269317348284
2017-2019,000096.SZ,static,685,0.018782266248352775,0.16734286016613187,0.07096849007950552,0.14337606138784453,0.19905716126891318,0.5807445729023951
2017-2019,000096.SZ,rolling,685,0.006350643500399267,0.05362304038036564,0.16003390223720582,0.08461333442976673,0.09324654345793387,0.3915168205052721
2017-2019,000099.SZ,static,562,0.019240733026422374,0.0869368801380086,0.29279317732181237,0.08017399792025481,0.14934410528634212,0.609248160666418
2017-2019,000099.SZ,rolling,562,0.005927038867482803,0.033926674795251015,0.07052484970186132,0.12674117604725402,0.08425713600660235,0.3154498365509687
2017-2019,000100.SZ,static,539,0.010793511810813006,0.049067426836708665,0.2065000434114463,0.016908892062193627,0.060529505979895495,0.3330058682902441
2017-2019,000100.SZ,rolling,539,0.005264823908551541,0.01026887532420434,0.2050610178296999,0.022533162963432017,0.11760119865110387,0.3554642547684401
2017-2019,000150.SZ,static,685,0.03879638615791037,0.23150615810628117,0.36895050430802157,0.21016638469898705,0.21170559653547386,1.0223286436487637
2017-2019,000150.SZ,rolling,685,0.010855586570084008,0.15849927140095124,0.0633006925023139,0.22368551535070302,0.35990751065558996,0.8053929899095582
2017-2019,000151.SZ,static,683,0.015947432372012127,0.015413057863442187,0.14871453497794812,0.35423413098238393,0.22496699741710227,0.7433287212408765
2017-2019,000151.SZ,rolling,683,0.0017719653687681136,0.05256395158014725,0.01228292131066185,0.11797805965171282,0.08602226885499394,0.26884720139751583
2017-2019,000153.SZ,static,534,0.013130588811917754,0.05189101478648846,0.16458740118839799,0.0885007191925118,0.11750698741531619,0.4224861225827144
2017-2019,000153.SZ,rolling,534,0.0042075371744008105,0.0686205479823837,0.060031043214392385,0.008662914342508628,0.003110757888907502,0.14042526342819223
2017-2019,000155.SZ,static,296,0.056401939006945456,0.12691531331272404,0.884600480677324,0.1399088655663104,0.26719269238312726,1.4186173519394858
2017-2019,000155.SZ,rolling,296,0.019718122062712395,0.12725578379618852,0.31782922080539056,0.24160550410516263,0.2623619726978768,0.9490524814046184
2017-2019,000156.SZ,static,558,0.0016664106305260828,0.001177633892908932,0.10158642939040402,0.07940717852198563,0.11992953280695237,0.30210077461225093
2017-2019,000156.SZ,rolling,558,0.003407645926931435,0.06019012524232215,0.021761405532199053,0.13137298715811133,0.05719768303144164,0.27052220096407414
2017-2019,000157.SZ,static,685,0.03966914302729119,0.11559157828186394,0.39532812098504405,0.04962890686925023,0.06063339400817837,0.6211820001443366
2017-2019,000157.SZ,rolling,685,0.0017763390594758288,0.02322612707972687,0.08137221972122834,0.008470247866517825,0.051969070129309604,0.16503766479678264
2017-2019,000158.SZ,static,676,0.022000843354027966,0.16381211538786422,0.12390851066959249,0.6657764252308406,0.17295599904517242,1.1264530503334698
2017-2019,000158.SZ,rolling,676,0.002524655739511217,0.06675639675071277,0.010156790776826578,0.07223773316086153,0.04071059239891728,0.18986151308731813
2017-2019,000159.SZ,static,592,0.01456187866742098,0.05322216407776387,0.3533473886889974,0.3403862315329857,0.22092171226311677,0.9678774965628637
2017-2019,000159.SZ,rolling,592,0.005177123355232571,0.10375519174179884,0.3398213895322887,0.019949382057623047,0.08682359810130333,0.5503495614330138
2017-2019,000166.SZ,static,679,0.006936397295815411,0.030417207350031165,0.09950531719260869,0.00018699914590610683,0.08486570720680522,0.2149752308953512
2017-2019,000166.SZ,rolling,679,0.007663955773804965,0.06617936613729858,0.11662611886473542,0.012987279008919876,0.05370933244249445,0.24950209645344834
2017-2019,000301.SZ,static,527,0.02243756557647325,0.07792141503091882,0.4964049952544736,0.31073851997724394,0.26076408415113994,1.1458290144137764
2017-2019,000301.SZ,rolling,527,0.0111353782047946,0.04242314494562213,0.24207381780369452,0.058544609001009405,0.10728494344113672,0.4503265151914628
2017-2019,000333.SZ,static,645,0.06718240461463398,0.25558677190819634,0.8355930078808347,0.479892483439905,0.16269943964404365,1.7337717028729798
2017-2019,000333.SZ,rolling,645,0.0037262427244841856,0.014807523836322889,0.027466787848964204,0.020265039219092534,0.21028761634119522,0.27282696724557487
2017-2019,000338.SZ,static,685,0.009391637868927716,0.07549547885905813,0.2864976165339301,0.11508059425682696,0.022980906944848063,0.5000545965946632
2017-2019,000338.SZ,rolling,685,0.00548685912821989,0.006453234354505122,0.11938449670032807,0.12794575873217529,0.010993791116904357,0.26477728090391284
2017-2019,000400.SZ,static,685,0.04559258849905268,0.06123750037265607,0.6421583887367098,0.1346830636355057,0.008904785348832114,0.8469837380937036
2017-2019,000400.SZ,rolling,685,0.0003902475296467811,0.005916683737572509,0.05983533039377457,0.003961279748264184,0.01910352685889246,0.08881682073850372
2017-2019,000401.SZ,static,586,0.02989490074468648,0.039544711476938464,0.0264245362877126,0.6095430230118649,0.2727205498708991,0.9482328206474151
2017-2019,000401.SZ,rolling,586,0.008102708257660352,0.12298798235352644,0.07172061424440437,0.20821416503300416,0.21118255632661403,0.6141053179575491
2017-2019,000402.SZ,static,685,0.032290284494211896,0.12324765315597717,0.1959142959603711,0.3106040473948542,0.05620790833433721,0.6859739048455397
2017-2019,000402.SZ,rolling,685,0.007180016885467433,0.05859496899186083,0.1008078597668053,0.1668777467114383,0.1451029398494697,0.4713835153195741
2017-2019,000403.SZ,static,613,0.003215558360436521,0.04462662399346466,0.11541195427180825,0.1194820989261369,0.04989269108207241,0.3294133682734822
2017-2019,000403.SZ,rolling,613,0.008437092098167231,0.036190161054539954,0.24994262197969142,0.06609071606855547,0.016984225693076296,0.36920772479586317
2017-2019,000404.SZ,static,679,0.015458253866823202,0.005657598353727256,0.18161710405753662,0.1166650488260818,0.013751036563550322,0.317690787800896
2017-2019,000404.SZ,rolling,679,0.00841345557012585,0.06326914422025538,0.02236598168357251,0.03298144749883311,0.08097688299935529,0.1995934564020163
2017-2019,000407.SZ,static,610,0.015796234929953745,0.09523831686148737,0.20286197338652576,0.03188802450233699,0.2607346205450306,0.5907229352953807
2017-2019,000407.SZ,rolling,610,0.0009696193399032493,0.029555148132497294,0.020929180615428207,0.04791962662300467,0.023727103600966977,0.12213105897189713
2017-2019,000408.SZ,static,654,0.005512806097495604,0.05055747462830444,0.31583784544749594,0.05801505164986202,0.04666510207859369,0.47107547380425613
2017-2019,000408.SZ,rolling,654,0.00535233378599409,0.016684974199208957,0.054075657962061756,0.2643442312902459,0.2559217951287959,0.5910266585803126
2017-2019,000409.SZ,static,516,0.08399857024416424,0.3032499082109773,0.11171994977457264,0.9536500849317243,0.16279145845490134,1.5314114013721756
2017-2019,000409.SZ,rolling,516,0.011446959148603497,0.058842439851056555,0.013698123476242635,0.33426144515285067,0.3156988048422915,0.7225008133224413
2017-2019,000410.SZ,static,670,0.011188000155066824,0.20012741988976462,0.07309793792580165,0.09531543448430048,0.10764982709854268,0.47619061939840945
2017-2019,000410.SZ,rolling,670,0.005242719550417552,0.07230673535180972,0.10352932809952213,0.07693438976492725,0.14258773684213255,0.3953581900583917
2017-2019,000411.SZ,static,685,0.0163682343403736,0.052926755707022266,0.37153179261042746,0.44949453708270903,0.22161900149543473,1.0955720868955934
2017-2019,000411.SZ,rolling,685,0.002510129605274747,0.06849157247832915,0.02998306725358461,0.0986213235747599,0.04448884919047305,0.24158481249714672
2017-2019,000413.SZ,static,637,0.005041208610095271,0.10266850624304813,0.15303311928929367,0.009258934167621642,0.09516479315948902,0.3601253528594524
2017-2019,000413.SZ,rolling,637,0.003979992697668244,0.017873562150398967,0.1329920787774183,0.09762709629285993,0.25676901802800783,0.5052617552486851
2017-2019,000415.SZ,static,397,0.03891772592057452,0.07060067603443873,0.006228327152512274,0.4630039662163621,0.33513540439329614,0.8749683737966092
2017-2019,000415.SZ,rolling,397,0.007086516371160534,0.08780039562721714,0.06623981017698281,0.10396132015221535,0.02441137521656271,0.28241290117297807
2017-2019,000416.SZ,static,685,0.021847859853871276,0.24398771395174174,0.04318831287236752,0.12061187313608042,0.13939568481856607,0.5471835847787557
2017-2019,000416.SZ,rolling,685,0.0023448663894762856,0.038310486197170576,0.029769846777198183,0.19907939606720684,0.022922689478096572,0.29008241851967215
2017-2019,000417.SZ,static,685,0.014661102624156097,0.029855075578934895,0.191145008785293,0.24513191870441606,0.15190778845382785,0.6180397915224718
2017-2019,000417.SZ,rolling,685,0.002379804128902263,0.019805895264428493,0.06030269117855471,0.060741627146762234,0.09899331807145784,0.23984353166120326
2017-2019,000418.SZ,static,492,0.01148682252057287,0.08621988548146531,0.3182575875122571,0.37776233577554924,0.14278881304675106,0.9250286218160227
2017-2019,000418.SZ,rolling,492,0.010231613551704655,0.060795291483935476,0.010004311064274277,0.004952698375605483,0.32627533224412547,0.4020276331679407
2017-2019,000419.SZ,static,685,0.013981168873327343,0.0037490421029976184,0.05733329365182363,0.18687819821192914,0.08817031325948223,0.3361308472262326
2017-2019,000419.SZ,rolling,685,0.0030435414573593,0.0009255579898782978,0.07226395890971894,0.02967633098087436,0.03442789171095527,0.13729373959142688
2017-2019,000420.SZ,static,677,0.04221245601766055,0.15644678209768498,0.19771981925609688,0.327085553690569,0.11811652503635511,0.799368680080706
2017-2019,000420.SZ,rolling,677,0.005162041533297024,0.03906910473188847,0.05843633931080698,0.10898887535535505,0.12827859985848264,0.3347729192565332
2017-2019,000421.SZ,static,685,0.011824305856367179,0.00409463283736676,0.23216312386085972,0.11134408502857242,0.06367304530487701,0.41127488703167586
2017-2019,000421.SZ,rolling,685,0.012674360018236741,0.0264789112883611,0.13238519531459225,0.035548652452725815,0.031137822520339916,0.2255505815760191
2017-2019,000422.SZ,static,654,0.08579271212020101,0.22655365918642767,1.102088621246133,0.18402989172031006,0.21812271918019688,1.7307948913330675
2017-2019,000422.SZ,rolling,654,0.00236523466094396,0.03737303299075606,0.020852991817771165,0.12901512096553858,0.038487942713470905,0.2257290884875367
2017-2019,000423.SZ,static,685,0.03590133709602994,0.06300153863676944,0.42216973691696114,0.48976268467251327,0.08786440000827415,1.0627983602345181
2017-2019,000423.SZ,rolling,685,0.012838289296063565,0.025415217452741015,0.029266361200441147,0.10776421744198145,0.3122807520159884,0.474726548111152
2017-2019,000425.SZ,static,685,0.019966808465318175,0.08653838876368071,0.015497265497142471,0.1523760068925748,0.07704318199066677,0.33145484314406476
2017-2019,000425.SZ,rolling,685,0.006566964002870934,0.031127500376906807,0.21506550291110357,0.08765803963509791,0.14006273706038197,0.47391377998349027
2017-2019,000426.SZ,static,620,0.02275494304793657,0.08098144573551146,0.7692365177919988,0.48339261852119186,0.25146564673046545,1.5850762287791675
2017-2019,000426.SZ,rolling,620,0.013189238632983158,0.2032325107184084,0.20800947479467657,0.16211896313034058,0.035792888117293975,0.6091538367607195
2017-2019,000428.SZ,static,685,0.009060666572468734,0.008684667306899074,0.05573454282603127,0.10453491765136523,0.13566205172782206,0.3046161795121176
2017-2019,000428.SZ,rolling,685,0.001072112093159494,0.021899032713452234,0.06909052189352723,0.010374509781286168,0.052644160686164176,0.1540082250744298
