trade_date,pearson,spearman
20220401,0.9917345315282016,0.9836493882958854
20220406,0.9916503413855757,0.9832507822421814
20220407,0.9921510069124466,0.9844050163398844
20220408,0.9923759511033345,0.9851190253775186
20220411,0.9921946130640541,0.9848995073006507
20220412,0.9918060090638253,0.9842990735646808
20220413,0.9922030989206955,0.9850228240880196
20220414,0.9939954598284033,0.9889907215051708
20220415,0.9944843180092037,0.9894664322375546
20220418,0.9944671241750916,0.9895978087854231
20220419,0.9944836250891497,0.9896593940230407
20220420,0.9944889760492578,0.9898141338249155
20220421,0.9941236908387697,0.9889717600153842
20220422,0.9944626660356981,0.9893781505132676
20220425,0.992008297440527,0.9856804126810913
20220426,0.9923579395628136,0.9871865127928668
20220427,0.9892885327474129,0.9825383292305642
20220428,0.9892144366060637,0.9822357574218621
20220429,0.9884452557593749,0.9810791823060943
20220505,0.9886055315851117,0.981816583608743
20220506,0.9885387488188401,0.9822002311253097
20220509,0.9887673296929743,0.982509289043169
20220510,0.9887035083553736,0.9825507532897995
20220511,0.9890697978628448,0.983227077227704
20220512,0.9892685313212505,0.9836328667029707
20220513,0.9890062338417759,0.9835270268247154
20220516,0.9890795444278555,0.9832207359249642
20220517,0.98936854154762,0.9833909688221232
20220518,0.9890692395713877,0.9828399737656294
20220519,0.9892920807238543,0.9831289667784311
20220520,0.9891569671589631,0.983188234001124
20220523,0.9896597585516014,0.9839256833139641
20220524,0.9898785025167207,0.9843773705271025
20220525,0.989882521312182,0.9838619823998507
20220526,0.9926140250867731,0.9880189080646502
20220527,0.9934347168010897,0.9893294900587799
20220530,0.9951021223589034,0.9921274470405017
20220531,0.9956325221491293,0.9928425375702972
20220601,0.9962320469018264,0.9938302806907059
20220602,0.9959402177281591,0.9934060433433031
20220606,0.9963376582417164,0.9943269888525399
20220607,0.9966946647147447,0.9946809157716917
20220608,0.9966822988521011,0.9945393124478991
20220609,0.9964278992870046,0.9941782853347239
20220610,0.996141886913502,0.9936040501049898
20220613,0.9958499170391661,0.9930991241864275
20220614,0.9955539506090312,0.9926317990535366
20220615,0.9955374081839732,0.992274439028007
20220616,0.9954909956304898,0.9925169276377989
20220617,0.9949578563360689,0.9916930708567689
20220620,0.995019119755276,0.9920270811372779
20220621,0.9946140620864499,0.9912247044974016
20220622,0.9952076725318505,0.992286611364789
20220623,0.9951923443623744,0.9923235270580673
20220624,0.9953048978372371,0.9925939300184996
20220627,0.9953037207560471,0.9930226843010189
20220628,0.9952428669737847,0.9930767449567204
20220629,0.9934496381699573,0.9906664098621785
20220630,0.9934358946626379,0.990881472916932
20220701,0.9938142522773324,0.9913017406133016
20220704,0.9939109928241174,0.9914744049370259
20220705,0.9941560910852739,0.9918439728884683
20220706,0.9941888536196597,0.9916046011201823
20220707,0.9947720624970662,0.9923623681570228
20220708,0.9945744394398875,0.9919614866290648
20220711,0.9948587893859788,0.992389597674746
20220712,0.9945245906514293,0.9917353787149304
20220713,0.994599511413454,0.9918690868180607
20220714,0.9932324313189826,0.9897177776932629
20220715,0.9931042084842878,0.989687976990347
20220718,0.9922387926994423,0.9882604970167912
20220719,0.9928990749643296,0.9892368689963718
20220720,0.9927744659678426,0.9889787120376475
20220721,0.993425426537178,0.9897796139271995
20220722,0.9936289030497043,0.9899555245490607
20220725,0.9935039142600572,0.9897485477797838
20220726,0.9935020876722797,0.9896006881789845
20220727,0.993762903473368,0.9901624517824259
20220728,0.9940098821488471,0.9906407624003833
20220729,0.9941736227604296,0.9904992730062805
20220801,0.9944313066148444,0.9909457398267344
20220802,0.993992591513299,0.9899262708040557
20220803,0.9941450474073918,0.990167325244531
20220804,0.9940050977880558,0.9898625929439738
20220805,0.9937001547838737,0.9896129359381756
20220808,0.9929728850971954,0.9882489465168145
20220809,0.99395069805115,0.990031745084573
20220810,0.9940548709957333,0.9902268889690057
20220811,0.9943776688271927,0.9903930699768239
20220812,0.9947649725981226,0.9911915265090926
20220815,0.9945936671520486,0.9908665484845008
20220816,0.9943780710851216,0.990442430805924
20220817,0.9944151237612354,0.9903191536009283
20220818,0.9933961799651448,0.9885188068359536
20220819,0.9921524806348687,0.9861941532823532
20220822,0.9923661718737983,0.9867015355255078
20220823,0.9920871534989071,0.9864485490491595
20220824,0.9912040396141842,0.9844641514670246
20220825,0.9903864274507496,0.9831309924248757
20220826,0.9901901495366406,0.9833833091977563
20220829,0.9901179767494572,0.983468498938129
20220830,0.9903524679819078,0.9847507840424914
20220831,0.9871368279433517,0.9791064686542205
20220901,0.9875364664211778,0.9792383241926567
20220902,0.9868748872691527,0.9770330120473545
20220905,0.9886610954848636,0.979717330694293
20220906,0.9885753912741677,0.979642783966821
20220907,0.9885455734101988,0.9797171030930965
20220908,0.9887391487449997,0.9794248836232604
20220909,0.9893614473512107,0.9804858892320535
20220913,0.9903730552203353,0.9821666395342488
20220914,0.9911092230840254,0.9828526892015375
20220915,0.9905488993487157,0.981267593026187
20220916,0.9924717366308452,0.9848176142353111
20220919,0.9927318222355324,0.9855321217534313
20220920,0.9919828289156852,0.9843339376241328
20220921,0.9923346545138848,0.9850837343571748
20220922,0.9926381978165054,0.986178090679374
20220923,0.9930565749789169,0.9864009000597324
20220926,0.9915486714348581,0.9833624280017333
20220927,0.9918471376724144,0.9834470333782874
20220928,0.99163512209895,0.9822096372638774
20220929,0.9935836729233813,0.9860217414915997
20220930,0.9924472787547756,0.9835828586396406
20221010,0.992649104201047,0.983826487114062
20221011,0.9924288642489392,0.9832840671321966
20221012,0.9922273721345095,0.9831730964144978
20221013,0.9926083245410657,0.9841407393613784
20221014,0.9918339906050249,0.9825472416597161
20221017,0.9919802106046886,0.9831774200046806
20221018,0.9921504645704344,0.9837721342589675
20221019,0.9922146158972519,0.984276265605826
20221020,0.9934232180494619,0.986416342195048
20221021,0.9937746021726649,0.9872095930842537
20221024,0.9937664427669944,0.9872047150417225
